date,price,xuat_khau
2009-06-04,25300.0,1.469952653
2009-06-05,25400.0,1.469952653
2009-06-06,25400.0,1.469952653
2009-06-07,25400.0,1.469952653
2009-06-08,25400.0,1.469952653
2009-06-09,25400.0,1.469952653
2009-06-10,25400.0,1.469952653
2009-06-11,25300.0,1.469952653
2009-06-12,25400.0,1.469952653
2009-06-13,25400.0,1.469952653
2009-06-14,25400.0,1.469952653
2009-06-15,25250.0,1.469952653
2009-06-16,24500.0,1.469952653
2009-06-17,24700.0,1.469952653
2009-06-18,24350.0,1.469952653
2009-06-19,24350.0,1.469952653
2009-06-20,24350.0,1.469952653
2009-06-21,24350.0,1.469952653
2009-06-22,23000.0,1.469952653
2009-06-23,23200.0,1.469952653
2009-06-24,21850.0,1.469952653
2009-06-25,21550.0,1.469952653
2009-06-26,22500.0,1.469952653
2009-06-27,22500.0,1.469952653
2009-06-28,22500.0,1.469952653
2009-06-29,22200.0,1.469952653
2009-06-30,23375.0,1.469952653
2009-07-01,22700.0,1.429287305
2009-07-02,23500.0,1.429287305
2009-07-03,23500.0,1.429287305
2009-07-04,23500.0,1.429287305
2009-07-05,23500.0,1.429287305
2009-07-06,23500.0,1.429287305
2009-07-07,23700.0,1.429287305
2009-07-08,23500.0,1.429287305
2009-07-09,23500.0,1.429287305
2009-07-10,23600.0,1.429287305
2009-07-11,23600.0,1.429287305
2009-07-12,23600.0,1.429287305
2009-07-13,24100.0,1.429287305
2009-07-14,24100.0,1.429287305
2009-07-15,24500.0,1.429287305
2009-07-16,24600.0,1.429287305
2009-07-17,24800.0,1.429287305
2009-07-18,24800.0,1.429287305
2009-07-19,24800.0,1.429287305
2009-07-20,25500.0,1.429287305
2009-07-21,25500.0,1.429287305
2009-07-22,25400.0,1.429287305
2009-07-23,25400.0,1.429287305
2009-07-24,25500.0,1.429287305
2009-07-25,25500.0,1.429287305
2009-07-26,25500.0,1.429287305
2009-07-27,25100.0,1.429287305
2009-07-28,25100.0,1.429287305
