date,price,tavg,tmax,pres
2017-02-08,32000,82.0,89.6,1009.6
2017-02-09,32000,82.6,93.2,1010.8
2017-02-10,32000,80.2,91.4,1010.8
2017-02-13,32000,80.2,91.4,1015.2
2017-02-15,32000,80.1,89.6,1013.5
2017-02-20,32000,81.9,86.0,1009.5
2017-02-21,25000,83.5,91.4,1010.7
2017-02-22,25000,83.8,93.2,1010.5
2017-02-23,25000,82.8,91.4,1011.3
2017-02-24,25000,83.1,91.4,1011.9
2017-02-27,25000,83.1,93.2,1009.9
2017-03-01,25000,83.8,91.4,1009.9
2017-03-02,25000,82.4,93.2,1009.9
2017-03-03,25000,81.1,89.6,1008.8
2017-03-07,18000,81.7,91.4,1009.7
2017-03-13,25000,83.8,93.2,1009.5
2017-03-14,25000,83.3,91.4,1009.8
2017-03-15,25000,83.8,93.2,1009.7
2017-03-16,25000,82.9,91.4,1009.5
2017-03-17,25000,83.1,91.4,1009.5
2017-03-23,25000,84.2,93.2,1010.4
2017-03-27,25000,85.5,95.0,1011.1
2017-03-28,25000,85.6,95.0,1011.1
2017-03-29,25000,84.0,95.0,1011.1
2017-03-30,25000,81.7,93.2,1011.1
2017-04-10,25000,86.0,95.0,1007.5
2017-04-13,25000,86.0,95.0,1010.4
2017-04-14,25000,86.7,96.8,1010.2
2017-04-17,25000,85.8,93.2,1009.6
2017-04-18,25000,85.8,93.2,1009.2
2017-04-19,25000,87.6,96.8,1009.1
2017-04-21,25000,88.2,96.8,1008.7
2017-04-24,25000,86.2,93.2,1009.7
2017-04-25,25000,84.7,95.0,1009.3
2017-05-05,25000,84.2,93.2,1011.4
2017-05-10,27000,84.0,91.4,1009.0
2017-05-11,27000,84.7,91.4,1008.3
2017-05-12,27000,86.7,95.0,1008.3
2017-05-17,27000,85.1,91.4,1006.9
2017-05-18,27000,86.4,95.0,1007.5
2017-05-19,27000,83.5,93.2,1007.8
2017-05-25,27000,84.4,93.2,1006.5
2017-05-26,27000,82.0,89.6,1006.8
2017-05-30,27000,81.1,91.4,1007.5
2017-06-02,27000,82.9,89.6,1008.5
2017-06-06,27000,81.1,89.6,1008.2
2017-06-07,27000,84.6,89.6,1008.4
2017-06-12,27000,86.5,93.2,1007.8
2017-06-15,27000,86.0,93.2,1009.3
2017-06-19,27000,86.4,93.2,1006.9
2017-06-20,27000,85.5,93.2,1006.8
2017-06-22,27000,80.8,87.8,1007.4
2017-06-23,27000,80.4,87.8,1006.8
2017-06-26,27000,81.9,89.6,969.9
2017-06-29,27000,84.4,93.2,1008.0
2017-06-30,27000,82.6,91.4,1007.7
2017-07-03,27000,84.0,91.4,1007.7
2017-07-05,27000,81.7,89.6,1008.8
2017-07-11,27000,84.2,91.4,1007.5
2017-07-14,27000,83.5,89.6,1007.5
2017-07-17,27000,78.1,87.8,1007.3
2017-07-20,27000,78.3,89.6,1007.3
2017-07-28,27000,83.5,89.6,1007.5
2017-08-01,27000,83.7,91.4,1008.0
2017-08-02,27000,82.4,89.6,1007.4
2017-08-03,27000,82.8,89.6,1005.8
2017-08-04,27000,81.1,89.6,1005.6
2017-08-07,27000,86.2,93.2,1008.7
2017-08-08,27000,84.0,93.2,1008.9
2017-08-09,27000,82.0,93.2,1009.1
2017-08-10,27000,82.9,91.4,1008.0
2017-08-11,27000,82.9,91.4,1008.0
2017-08-14,27000,82.9,89.6,1008.9
2017-08-15,27000,82.2,91.4,1008.1
2017-08-17,27000,80.4,86.0,1006.1
2017-08-18,27000,79.3,86.0,1006.9
2017-08-21,27000,84.0,91.4,1005.8
2017-08-22,30000,82.8,93.2,1005.6
2017-08-23,30000,80.4,89.6,1006.3
2017-08-24,30000,83.8,91.4,1006.7
2017-08-25,30000,82.6,91.4,968.8
2017-08-28,30000,82.8,91.4,1007.2
2017-08-29,30000,84.6,91.4,1007.8
2017-08-31,30000,85.6,93.2,1008.3
2017-09-01,30000,81.7,89.6,1007.5
2017-09-05,30000,84.4,95.0,1008.2
2017-09-06,30000,85.8,93.2,1008.1
2017-09-07,30000,85.5,93.2,1008.4
2017-09-11,30000,82.8,91.4,1009.0
2017-09-13,30000,85.5,93.2,1007.1
2017-09-14,30000,82.6,89.6,1005.3
2017-09-15,30000,83.8,91.4,1005.1
2017-09-18,30000,83.7,93.2,1007.3
2017-09-19,30000,81.9,91.4,1007.3
2017-09-20,30000,80.4,87.8,1007.3
2017-09-22,30000,79.5,87.8,1007.5
2017-09-25,30000,82.0,87.8,1007.4
2017-09-26,30000,84.9,93.2,1008.2
2017-09-27,30000,82.6,91.4,1008.1
2017-09-28,30000,81.9,91.4,1007.6
2017-09-29,30000,84.7,93.2,1008.3
2017-10-02,30000,77.7,80.6,1007.8
2017-10-03,30000,79.0,84.2,1008.3
2017-10-04,30000,81.5,91.4,1009.3
2017-10-05,30000,83.1,91.4,1008.4
2017-10-06,30000,83.5,89.6,1008.4
