date,price,tavg,tmax,pres
2010-07-26,26000.0,79.5,85.5,1011.0
2010-07-27,24000.0,80.6,90.3,1011.0
2010-07-28,24000.0,81.0,89.1,1011.0
2010-07-29,24000.0,81.7,92.1,1011.0
2010-07-30,26000.0,82.8,92.1,1011.0
2010-08-02,25000.0,79.5,90.3,1011.0
2010-08-03,25000.0,81.0,91.4,1011.0
2010-08-04,25000.0,83.8,92.5,1011.0
2010-08-05,26000.0,83.1,92.7,1011.0
2010-08-06,26000.0,80.1,88.9,1011.0
2010-08-09,25000.0,80.6,90.7,1011.0
2010-08-10,25000.0,78.1,84.9,1011.0
2010-08-11,26000.0,78.3,88.5,1011.0
2010-08-12,26000.0,82.6,91.8,1011.0
2010-08-13,26000.0,81.3,90.7,1011.0
2010-08-16,25000.0,83.7,93.6,1011.0
2010-08-17,25000.0,83.3,92.5,1011.0
2010-08-18,26000.0,82.2,92.1,1011.0
2010-08-19,28000.0,78.3,86.5,1011.0
2010-08-20,28000.0,77.0,88.9,1011.0
2010-08-23,25000.0,77.2,87.8,1011.0
2010-08-24,25000.0,79.2,87.8,1011.0
2010-08-25,25000.0,82.0,92.5,1011.0
2010-08-26,25000.0,81.0,92.1,1011.0
2010-08-27,25000.0,81.7,92.1,1011.0
2010-08-30,25000.0,79.9,90.7,1011.0
2010-08-31,25000.0,82.0,90.3,1011.0
2010-09-01,25000.0,81.7,92.1,1011.0
2010-09-07,19000.0,82.9,92.1,1011.0
2010-09-08,19000.0,81.1,88.5,1011.0
2010-09-09,19000.0,81.1,92.1,1011.0
2010-09-10,19000.0,81.0,92.1,1011.0
2010-09-11,19000.0,82.8,90.3,1011.0
2010-09-13,18000.0,79.0,90.3,1011.0
2010-09-14,18000.0,79.3,90.3,1011.0
2010-09-15,25000.0,80.1,90.3,1011.0
2010-09-16,19000.0,78.6,89.6,1011.0
2010-09-17,20000.0,79.2,88.5,1011.0
2010-09-20,20000.0,80.2,93.2,1011.0
2010-09-21,20000.0,82.8,93.2,1011.0
2010-09-22,20000.0,82.6,91.4,1011.0
2010-09-23,20000.0,83.5,93.2,1011.0
2010-09-24,18000.0,81.7,92.5,1011.0
2010-09-27,18000.0,81.9,92.1,1011.0
2010-09-28,16000.0,79.7,95.0,1011.0
2010-09-29,16000.0,80.4,92.1,1011.0
2010-09-30,16000.0,80.2,88.9,1011.0
2010-10-01,16000.0,79.2,88.9,1011.0
2010-10-04,16000.0,79.0,92.1,1011.0
2010-10-05,16000.0,77.9,88.5,1011.0
2010-10-06,16000.0,82.0,91.4,1011.0
2010-10-07,16000.0,81.0,90.3,1011.0
2010-10-11,16000.0,75.2,79.3,1011.0
2010-10-13,16000.0,77.9,87.8,1011.0
2010-10-15,16000.0,79.7,86.0,1011.0
2010-10-18,15000.0,80.2,91.4,1011.0
2010-10-19,18000.0,78.4,84.9,1011.0
2010-10-20,18000.0,79.2,89.6,1011.0
2010-10-22,18000.0,78.4,84.7,1011.0
2010-10-27,20000.0,80.4,91.4,1011.0
2010-10-28,20000.0,77.5,86.0,1011.0
2010-10-29,20000.0,76.6,85.1,1011.0
2010-11-02,20000.0,77.7,88.9,1011.0
2010-11-03,24000.0,79.2,88.5,1011.0
2010-11-04,24000.0,76.5,84.6,1011.0
2010-11-05,24000.0,78.1,89.6,1011.0
2010-11-08,24000.0,77.4,84.9,1011.0
2010-11-09,24000.0,79.2,88.9,1011.0
2010-11-10,24000.0,78.6,91.4,1011.0
2010-11-11,24000.0,78.1,90.3,1011.0
2010-11-12,24000.0,80.2,90.1,1011.0
2010-11-17,24000.0,77.5,90.3,1011.0
2010-11-19,24000.0,76.3,86.7,1011.0
2010-11-22,24000.0,77.0,87.8,1011.0
2010-11-23,24000.0,79.5,89.6,1011.0
2010-11-24,24000.0,80.8,88.9,1011.0
2010-11-25,24000.0,79.2,88.9,1011.0
2010-11-26,24000.0,78.3,90.1,1011.0
2010-12-01,24000.0,80.4,89.6,1011.0
2010-12-03,24000.0,80.6,90.3,1011.0
2010-12-06,20000.0,79.5,90.3,1011.0
2010-12-07,20000.0,79.7,90.5,1011.0
2010-12-08,20000.0,79.2,90.5,1011.0
2010-12-09,20000.0,78.1,86.0,1011.0
2010-12-10,20000.0,79.5,88.5,1011.0
2010-12-13,22000.0,79.7,89.6,1011.0
2010-12-15,22000.0,80.4,88.9,1011.0
2010-12-17,22000.0,76.3,86.0,1011.0
2010-12-20,25000.0,79.0,86.0,1011.0
2010-12-21,25000.0,77.4,89.6,1011.0
