date,Luong (nghin tan),Kim ngach (trieu USD),Trieu USD/ Nghin tan
12/1/2019,188.25,327.59,1.740185923
1/1/2020,145.11,246.56,1.699124802
2/1/2020,173.79,293,1.685942805
3/1/2020,92.82,164.41,1.771277742
4/1/2020,165.8,279.84,1.687816647
5/1/2020,130.29,220.59,1.693069307
6/1/2020,127.7,217.69,1.704698512
7/1/2020,120,213,1.775
8/1/2020,100,184.35,1.8435
9/1/2020,99.74,188,1.884900742
10/1/2020,91.38,168.73,1.84646531
11/1/2020,83.73,161.13,1.924399857
12/1/2020,85,170,2
1/1/2021,160.62,280.58,1.746855933
2/1/2021,122.84,215.96,1.758059264
3/1/2021,169.63,312.07,1.839709957
4/1/2021,132.12,246.39,1.86489555
5/1/2021,130.29,243.54,1.869214828
6/1/2021,128.04,248.6,1.941580756
7/1/2021,122.3,235.06,1.921995094
8/1/2021,111.7,224.75,2.012085944
9/1/2021,100.34,210.02,2.093083516
10/1/2021,91.62,200.51,2.188495962
11/1/2021,88.55,202.61,2.288085827
12/1/2021,115.06,270.2,2.348339997
1/1/2022,152.81,347.29,2.272691578
2/1/2022,106.45,255.27,2.398027243
3/1/2022,163.87,380.7,2.323183011
4/1/2022,133.73,313.66,2.34547222
5/1/2022,125.64,288.04,2.29258198
6/1/2022,120.37,276.75,2.29916092
7/1/2022,105.69,242.15,2.29113445
8/1/2022,100.4,236.77,2.358266932
9/1/2022,84.74,206.65,2.438635827
10/1/2022,74.17,192.27,2.592287987
11/1/2022,110.36,264.48,2.396520478
12/1/2022,148.1,332.48,2.244969615
1/1/2023,114.54,256.09,2.235812816
2/1/2023,152.45,339.46,2.226697278
3/1/2023,174.71,406.11,2.324480568
4/1/2023,146.64,360.57,2.458878887
5/1/2023,130.29,336.49,2.582623379
6/1/2023,125.04,338.23,2.704974408
7/1/2023,97.85,279.22,2.853551354
8/1/2023,73.62,228.78,3.107579462
9/1/2023,45.92,154.41,3.362587108
10/1/2023,39.62,145,3.659767794
11/1/2023,109.48,327.51,2.991505298
12/1/2023,207.16,599.14,2.892160649
1/1/2024,238.27,726.59,3.049439711
2/1/2024,160.56,528.27,3.290171898
