date,price
2018-03-28,40000
2018-03-29,40000
2018-03-30,40000
2018-04-02,40000
2018-04-03,40000
2018-04-04,40000
2018-04-05,40000
2018-04-06,40000
2018-04-09,40000
2018-04-10,40000
2018-04-11,40000
2018-04-12,40000
2018-04-13,40000
2018-04-16,40000
2018-04-17,40000
2018-04-18,40000
2018-04-19,40000
2018-04-20,40000
2018-04-23,40000
2018-04-26,40000
2018-05-16,40000
2018-05-17,40000
2018-05-18,40000
2018-05-21,40000
2018-05-22,40000
2018-05-23,40000
2018-05-24,40000
2018-05-28,40000
2018-05-29,40000
2018-05-30,40000
2018-06-01,40000
2018-06-04,40000
2018-06-05,40000
2018-06-07,40000
2018-06-08,40000
2018-06-11,40000
2018-06-12,40000
2018-06-13,40000
2018-06-14,40000
2018-06-15,40000
2018-06-18,40000
2018-06-19,40000
2018-06-20,40000
2018-06-21,40000
2018-06-22,40000
2018-06-25,40000
2018-06-26,40000
2018-06-27,40000
2018-06-28,40000
2018-06-29,40000
2018-07-02,40000
2018-07-03,40000
2018-07-04,40000
2018-07-05,40000
2018-07-06,40000
2018-07-09,40000
2018-07-11,40000
2018-07-12,40000
2018-07-13,40000
2018-07-24,40000
2018-07-25,40000
2018-07-26,40000
2018-07-27,40000
2018-08-01,40000
2018-08-02,40000
2018-08-03,40000
2018-08-06,40000
2018-08-07,40000
2018-08-08,40000
2018-08-09,40000
2018-08-10,40000
2018-08-13,40000
2018-08-14,40000
2018-08-15,40000
2018-08-16,40000
2018-08-17,40000
2018-08-20,40000
2018-08-21,40000
2018-08-22,40000
2018-08-23,40000
2018-08-24,40000
2018-08-27,40000
2018-08-28,40000
2018-08-29,40000
2018-08-30,40000
2018-08-31,40000
2018-09-04,40000
2018-09-05,40000
2018-09-06,40000
2018-09-07,40000
2018-09-10,40000
2018-09-11,40000
2018-09-12,40000
2018-09-13,40000
2018-09-14,40000
2018-09-17,40000
2018-09-18,40000
2018-09-19,40000
2018-09-20,40000
2018-09-21,40000
2018-09-24,40000
2018-09-25,40000
2018-09-26,40000
2018-10-05,40000
2018-10-10,40000
2018-10-15,40000
2018-10-16,40000
2018-10-17,40000
2018-10-18,40000
2018-10-19,40000
2018-10-22,40000
2018-10-25,40000
2018-10-26,40000
2018-10-29,40000
2018-10-30,40000
2018-10-31,40000
2018-11-01,40000
2018-11-02,40000
2018-11-06,40000
2018-11-07,40000
2018-11-08,40000
2018-11-09,40000
2018-11-10,40000
2018-11-12,40000
2018-11-13,40000
2018-11-14,40000
2018-11-15,40000
2018-11-16,40000
2018-11-19,40000
2018-11-20,40000
2018-11-21,40000
2018-11-22,40000
2018-11-23,40000
2018-11-26,40000
2018-11-27,40000
2018-12-24,40000
2018-12-25,40000
2018-12-26,40000
2018-12-28,40000
2019-01-03,40000
2019-01-04,40000
2019-01-07,40000
2019-01-08,40000
2019-01-09,40000
2019-01-16,40000
2019-01-17,40000
2019-01-18,40000
2019-01-25,40000
2019-02-12,48000
2019-02-13,48000
2019-02-14,48000
2019-02-15,48000
2019-02-18,48000
2019-02-19,48000
2019-02-20,48000
2019-02-22,48000
2019-02-25,48000
2019-02-26,48000
2019-02-28,48000
2019-03-01,48000
2019-03-04,48000
2019-03-05,48000
2019-03-06,48000
2019-03-07,48000
2019-03-08,48000
2019-03-11,48000
2019-03-12,48000
2019-03-13,48000
2019-03-14,48000
2019-03-15,48000
2019-03-18,48000
2019-04-01,48000
2019-04-02,48000
2019-04-03,48000
2019-04-05,48000
2019-04-08,48000
