date,price,RON 95-III
4/6/2019,31600,20.03
4/7/2019,31600,20.03
4/8/2019,31600,20.03
4/9/2019,31800,20.03
4/10/2019,31700,20.03
4/11/2019,31800,20.03
4/12/2019,31200,20.03
4/13/2019,31300,20.03
4/14/2019,31300,20.03
4/15/2019,31300,20.03
4/16/2019,31900,20.03
4/17/2019,31700,21.23
4/18/2019,31400,21.23
4/19/2019,31500,21.23
4/20/2019,31500,21.23
4/21/2019,31500,21.23
4/22/2019,31500,21.23
4/23/2019,31500,21.23
4/24/2019,31300,21.23
4/25/2019,31200,21.23
4/26/2019,31200,21.23
4/27/2019,31600,21.23
4/28/2019,31600,21.23
4/29/2019,31600,21.23
4/30/2019,31500,21.23
5/1/2019,31500,21.23
5/2/2019,31000,22.19
5/3/2019,31200,22.19
5/4/2019,30900,22.19
5/5/2019,30900,22.19
5/6/2019,30900,22.19
5/7/2019,30900,22.19
5/8/2019,29900,22.19
5/9/2019,29800,22.19
5/10/2019,30900,22.19
5/11/2019,31400,22.19
5/12/2019,31400,22.19
5/13/2019,31400,22.19
5/14/2019,31100,22.19
5/15/2019,32100,22.19
5/16/2019,31700,22.19
5/17/2019,30900,21.59
5/18/2019,30300,21.59
5/19/2019,30300,21.59
5/20/2019,30300,21.59
5/21/2019,31000,21.59
5/22/2019,31600,21.59
5/23/2019,31500,21.59
5/24/2019,31700,21.59
5/25/2019,31700,21.59
5/26/2019,31700,21.59
5/27/2019,31800,21.59
5/28/2019,31800,21.59
5/29/2019,31900,21.59
5/30/2019,32700,21.59
5/31/2019,33500,21.59
6/1/2019,33900,21.21
6/2/2019,33900,21.21
6/3/2019,34000,21.21
6/4/2019,34000,21.21
6/5/2019,34100,21.21
6/6/2019,32700,21.21
6/7/2019,33300,21.21
6/8/2019,33200,21.21
6/9/2019,33200,21.21
6/10/2019,33200,21.21
6/11/2019,33100,21.21
6/12/2019,32600,21.21
6/13/2019,33000,21.21
6/14/2019,32900,21.21
6/15/2019,32500,21.21
6/16/2019,32500,21.21
6/17/2019,32500,20.13
6/18/2019,32300,20.13
6/19/2019,32000,20.13
6/20/2019,32000,20.13
6/21/2019,33200,20.13
6/22/2019,33200,20.13
6/23/2019,33200,20.13
6/24/2019,33200,20.13
6/25/2019,33400,20.13
6/26/2019,34100,20.13
6/27/2019,33700,20.13
6/28/2019,33800,20.13
6/29/2019,34200,20.13
6/30/2019,34200,20.13
7/1/2019,34200,20.13
7/2/2019,34700,20.51
7/3/2019,34300,20.51
7/4/2019,34500,20.51
7/5/2019,34900,20.51
7/6/2019,34300,20.51
7/7/2019,34300,20.51
7/8/2019,34300,20.51
7/9/2019,34000,20.51
7/10/2019,34200,20.51
7/11/2019,34100,20.51
7/12/2019,34000,20.51
7/13/2019,33900,20.51
7/14/2019,33900,20.51
7/15/2019,34000,20.51
7/16/2019,34200,20.51
7/17/2019,33800,21.23
7/18/2019,34200,21.23
7/19/2019,34300,21.23
7/20/2019,34100,21.23
7/21/2019,34100,21.23
7/22/2019,34100,21.23
7/23/2019,33600,21.23
7/24/2019,33800,21.23
7/25/2019,33700,21.23
7/26/2019,33600,21.23
7/27/2019,33200,21.23
7/28/2019,33200,21.23
7/29/2019,33200,21.23
7/30/2019,33700,21.23
7/31/2019,33500,21.23
8/1/2019,33300,20.91
8/2/2019,32800,20.91
8/3/2019,32900,20.91
8/4/2019,32900,20.91
8/5/2019,32800,20.91
8/6/2019,32600,20.91
8/7/2019,32800,20.91
8/8/2019,32700,20.91
8/9/2019,32900,20.91
8/10/2019,32700,20.91
8/11/2019,32700,20.91
8/12/2019,32800,20.91
8/13/2019,32400,20.91
8/14/2019,33100,20.91
8/15/2019,33200,20.91
8/16/2019,33500,20.4
8/17/2019,33200,20.4
8/18/2019,33200,20.4
8/19/2019,33200,20.4
8/20/2019,33100,20.4
8/21/2019,33300,20.4
8/22/2019,33400,20.4
8/23/2019,33400,20.4
8/24/2019,33100,20.4
8/25/2019,33100,20.4
8/26/2019,33200,20.4
8/27/2019,33200,20.4
8/28/2019,33600,20.4
8/29/2019,33800,20.4
8/30/2019,33300,20.4
8/31/2019,33500,20.23
9/1/2019,33500,20.23
9/2/2019,33500,20.23
9/3/2019,33500,20.23
9/4/2019,33100,20.23
9/5/2019,33300,20.23
9/6/2019,32700,20.23
9/7/2019,33200,20.23
9/8/2019,33200,20.23
9/9/2019,33200,20.23
9/10/2019,33400,20.23
9/11/2019,33900,20.23
9/12/2019,34100,20.23
9/13/2019,34000,20.23
9/14/2019,33600,20.23
9/15/2019,33600,20.23
9/16/2019,33600,20.14
9/17/2019,33700,20.14
9/18/2019,33400,20.14
9/19/2019,33500,20.14
9/20/2019,33300,20.14
9/21/2019,33400,20.14
9/22/2019,33400,20.14
9/23/2019,33400,20.14
9/24/2019,33600,20.14
9/25/2019,33600,20.14
9/26/2019,33500,20.14
9/27/2019,33600,20.14
9/28/2019,33600,20.14
9/29/2019,33600,20.14
9/30/2019,33600,20.14
10/1/2019,33600,21.06
10/2/2019,33400,21.06
10/3/2019,33300,21.06
10/4/2019,33500,21.06
10/5/2019,33200,21.06
10/6/2019,33200,21.06
10/7/2019,33200,21.06
10/8/2019,32500,21.06
10/9/2019,32600,21.06
10/10/2019,32600,21.06
10/11/2019,32500,21.06
10/12/2019,32200,21.06
10/13/2019,32200,21.06
10/14/2019,32000,21.06
10/15/2019,32200,21.06
10/16/2019,32000,20.79
10/17/2019,31400,20.79
10/18/2019,31100,20.79
10/19/2019,31600,20.79
10/20/2019,31600,20.79
10/21/2019,31400,20.79
10/22/2019,31300,20.79
10/23/2019,31400,20.79
10/24/2019,31300,20.79
10/25/2019,31200,20.79
10/26/2019,31400,20.79
10/27/2019,31400,20.79
10/28/2019,31200,20.79
10/29/2019,31700,20.79
10/30/2019,31700,20.79
10/31/2019,32000,20.44
11/1/2019,32700,20.44
11/2/2019,32700,20.44
11/3/2019,32700,20.44
11/4/2019,32600,20.44
11/5/2019,32300,20.44
11/6/2019,32700,20.44
11/7/2019,33000,20.44
11/8/2019,33500,20.44
11/9/2019,33600,20.44
11/10/2019,33600,20.44
11/11/2019,33600,20.44
11/12/2019,33300,20.44
11/13/2019,33200,20.44
11/14/2019,34000,20.44
11/15/2019,34200,20.79
11/16/2019,33600,20.79
11/17/2019,33600,20.79
11/18/2019,33600,20.79
11/19/2019,33200,20.79
11/20/2019,32700,20.79
11/21/2019,33600,20.79
11/22/2019,33700,20.79
11/23/2019,33600,20.79
11/24/2019,33600,20.79
11/25/2019,33600,20.79
11/26/2019,33900,20.79
11/27/2019,32900,20.79
11/28/2019,33200,20.79
11/29/2019,33100,20.79
11/30/2019,33300,21.07
12/1/2019,33300,21.07
12/2/2019,33300,21.07
12/3/2019,33300,21.07
12/4/2019,33400,21.07
12/5/2019,32500,21.07
12/6/2019,33200,21.07
12/7/2019,33500,21.07
12/8/2019,33500,21.07
12/9/2019,33400,21.07
12/10/2019,33100,21.07
12/11/2019,33500,21.07
12/12/2019,33000,21.07
12/13/2019,33400,21.07
12/14/2019,32800,21.07
12/15/2019,32800,21.07
12/16/2019,32700,20.88
12/17/2019,33300,20.88
12/18/2019,32700,20.88
12/19/2019,32500,20.88
12/20/2019,32000,20.88
12/21/2019,32100,20.88
12/22/2019,32100,20.88
12/23/2019,32100,20.88
12/24/2019,31700,20.88
12/25/2019,32000,20.88
12/26/2019,32100,20.88
12/27/2019,32100,20.88
12/28/2019,32800,20.88
12/29/2019,32800,20.88
12/30/2019,32800,20.88
12/31/2019,32600,20.99
1/1/2020,32600,20.99
1/2/2020,32800,20.99
1/3/2020,32700,20.99
1/4/2020,32600,20.99
1/5/2020,32600,20.99
1/6/2020,32500,20.99
1/7/2020,32100,20.99
1/8/2020,32300,20.99
1/9/2020,32200,20.99
1/10/2020,31900,20.99
1/11/2020,32100,20.99
1/12/2020,32100,20.99
1/13/2020,32100,20.99
1/14/2020,31500,20.99
1/15/2020,31700,20.91
1/16/2020,31900,20.91
1/17/2020,31600,20.91
1/18/2020,31700,20.91
1/19/2020,31700,20.91
1/20/2020,37100,20.91
1/21/2020,31400,20.91
1/22/2020,31900,20.91
1/23/2020,32000,20.91
1/24/2020,32500,20.91
1/25/2020,31500,20.91
1/26/2020,31500,20.91
1/27/2020,31500,20.91
1/28/2020,31600,20.91
1/29/2020,31500,20.91
1/30/2020,31000,20.12
1/31/2020,30900,20.12
2/1/2020,31400,20.12
2/2/2020,31400,20.12
2/3/2020,31400,20.12
2/4/2020,30800,20.12
2/5/2020,30700,20.12
2/6/2020,30700,20.12
2/7/2020,30900,20.12
2/8/2020,30800,20.12
2/9/2020,30800,20.12
2/10/2020,30900,20.12
2/11/2020,30800,20.12
2/12/2020,31000,20.12
2/13/2020,30800,20.12
