name,area,price
Ca phe voi nhan xo,Dak Lak,25000.0
Ca phe voi nhan xo,Dak Lak,25200.0
Ca phe voi nhan xo,Dak Lak,25300.0
Ca phe voi nhan xo,Dak Lak,25300.0
Ca phe voi nhan xo,Dak Lak,25300.0
Ca phe voi nhan xo,Dak Lak,25300.0
Ca phe voi nhan xo,Dak Lak,25600.0
Ca phe voi nhan xo,Dak Lak,25500.0
Ca phe voi nhan xo,Dak Lak,25900.0
Ca phe voi nhan xo,Dak Lak,26200.0
Ca phe voi nhan xo,Dak Lak,26200.0
Ca phe voi nhan xo,Dak Lak,26200.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26300.0
Ca phe voi nhan xo,Dak Lak,26500.0
Ca phe voi nhan xo,Dak Lak,26500.0
Ca phe voi nhan xo,Dak Lak,26500.0
Ca phe voi nhan xo,Dak Lak,26600.0
Ca phe voi nhan xo,Dak Lak,26700.0
Ca phe voi nhan xo,Dak Lak,26700.0
Ca phe voi nhan xo,Dak Lak,26700.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,27200.0
Ca phe voi nhan xo,Dak Lak,27200.0
Ca phe voi nhan xo,Dak Lak,27400.0
Ca phe voi nhan xo,Dak Lak,27900.0
Ca phe voi nhan xo,Dak Lak,28300.0
Ca phe voi nhan xo,Dak Lak,28300.0
Ca phe voi nhan xo,Dak Lak,28300.0
Ca phe voi nhan xo,Dak Lak,28200.0
Ca phe voi nhan xo,Dak Lak,28700.0
Ca phe voi nhan xo,Dak Lak,28300.0
Ca phe voi nhan xo,Dak Lak,28600.0
Ca phe voi nhan xo,Dak Lak,28200.0
Ca phe voi nhan xo,Dak Lak,28200.0
Ca phe voi nhan xo,Dak Lak,28200.0
Ca phe voi nhan xo,Dak Lak,28400.0
Ca phe voi nhan xo,Dak Lak,28400.0
Ca phe voi nhan xo,Dak Lak,28500.0
Ca phe voi nhan xo,Dak Lak,28500.0
Ca phe voi nhan xo,Dak Lak,29100.0
Ca phe voi nhan xo,Dak Lak,29100.0
Ca phe voi nhan xo,Dak Lak,29100.0
Ca phe voi nhan xo,Dak Lak,28900.0
Ca phe voi nhan xo,Dak Lak,28600.0
Ca phe voi nhan xo,Dak Lak,28700.0
Ca phe voi nhan xo,Dak Lak,28400.0
Ca phe voi nhan xo,Dak Lak,28500.0
Ca phe voi nhan xo,Dak Lak,28500.0
Ca phe voi nhan xo,Dak Lak,28500.0
Ca phe voi nhan xo,Dak Lak,28600.0
Ca phe voi nhan xo,Dak Lak,28900.0
Ca phe voi nhan xo,Dak Lak,28700.0
Ca phe voi nhan xo,Dak Lak,29000.0
Ca phe voi nhan xo,Dak Lak,29100.0
Ca phe voi nhan xo,Dak Lak,29100.0
Ca phe voi nhan xo,Dak Lak,29100.0
Ca phe voi nhan xo,Dak Lak,28800.0
Ca phe voi nhan xo,Dak Lak,28800.0
Ca phe voi nhan xo,Dak Lak,29100.0
Ca phe voi nhan xo,Dak Lak,29000.0
Ca phe voi nhan xo,Dak Lak,28500.0
Ca phe voi nhan xo,Dak Lak,28500.0
Ca phe voi nhan xo,Dak Lak,28500.0
Ca phe voi nhan xo,Dak Lak,27500.0
Ca phe voi nhan xo,Dak Lak,27600.0
Ca phe voi nhan xo,Dak Lak,27700.0
Ca phe voi nhan xo,Dak Lak,28000.0
Ca phe voi nhan xo,Dak Lak,28300.0
Ca phe voi nhan xo,Dak Lak,28300.0
Ca phe voi nhan xo,Dak Lak,28300.0
Ca phe voi nhan xo,Dak Lak,28300.0
Ca phe voi nhan xo,Dak Lak,28000.0
Ca phe voi nhan xo,Dak Lak,27900.0
Ca phe voi nhan xo,Dak Lak,27800.0
Ca phe voi nhan xo,Dak Lak,27200.0
Ca phe voi nhan xo,Dak Lak,27200.0
Ca phe voi nhan xo,Dak Lak,27200.0
Ca phe voi nhan xo,Dak Lak,27000.0
Ca phe voi nhan xo,Dak Lak,27500.0
Ca phe voi nhan xo,Dak Lak,27600.0
Ca phe voi nhan xo,Dak Lak,27200.0
Ca phe voi nhan xo,Dak Lak,27400.0
Ca phe voi nhan xo,Dak Lak,27400.0
Ca phe voi nhan xo,Dak Lak,27400.0
Ca phe voi nhan xo,Dak Lak,27500.0
Ca phe voi nhan xo,Dak Lak,27400.0
Ca phe voi nhan xo,Dak Lak,27400.0
Ca phe voi nhan xo,Dak Lak,27500.0
Ca phe voi nhan xo,Dak Lak,27300.0
Ca phe voi nhan xo,Dak Lak,27300.0
Ca phe voi nhan xo,Dak Lak,27300.0
Ca phe voi nhan xo,Dak Lak,27000.0
Ca phe voi nhan xo,Dak Lak,27200.0
Ca phe voi nhan xo,Dak Lak,26700.0
Ca phe voi nhan xo,Dak Lak,26100.0
Ca phe voi nhan xo,Dak Lak,25000.0
Ca phe voi nhan xo,Dak Lak,25000.0
Ca phe voi nhan xo,Dak Lak,25000.0
Ca phe voi nhan xo,Dak Lak,25000.0
Ca phe voi nhan xo,Dak Lak,25100.0
Ca phe voi nhan xo,Dak Lak,25100.0
Ca phe voi nhan xo,Dak Lak,25000.0
Ca phe voi nhan xo,Dak Lak,25100.0
Ca phe voi nhan xo,Dak Lak,25100.0
Ca phe voi nhan xo,Dak Lak,25100.0
Ca phe voi nhan xo,Dak Lak,25100.0
Ca phe voi nhan xo,Dak Lak,25200.0
Ca phe voi nhan xo,Dak Lak,25100.0
Ca phe voi nhan xo,Dak Lak,25200.0
Ca phe voi nhan xo,Dak Lak,25200.0
Ca phe voi nhan xo,Dak Lak,25200.0
Ca phe voi nhan xo,Dak Lak,25200.0
Ca phe voi nhan xo,Dak Lak,25200.0
Ca phe voi nhan xo,Dak Lak,25900.0
Ca phe voi nhan xo,Dak Lak,26200.0
Ca phe voi nhan xo,Dak Lak,26000.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26700.0
Ca phe voi nhan xo,Dak Lak,27500.0
Ca phe voi nhan xo,Dak Lak,27600.0
Ca phe voi nhan xo,Dak Lak,27500.0
Ca phe voi nhan xo,Dak Lak,27000.0
Ca phe voi nhan xo,Dak Lak,27000.0
Ca phe voi nhan xo,Dak Lak,27000.0
Ca phe voi nhan xo,Dak Lak,27300.0
Ca phe voi nhan xo,Dak Lak,27400.0
Ca phe voi nhan xo,Dak Lak,26900.0
Ca phe voi nhan xo,Dak Lak,26900.0
Ca phe voi nhan xo,Dak Lak,26700.0
Ca phe voi nhan xo,Dak Lak,26700.0
Ca phe voi nhan xo,Dak Lak,26700.0
Ca phe voi nhan xo,Dak Lak,26200.0
Ca phe voi nhan xo,Dak Lak,26300.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26000.0
Ca phe voi nhan xo,Dak Lak,26000.0
Ca phe voi nhan xo,Dak Lak,26000.0
Ca phe voi nhan xo,Dak Lak,26000.0
Ca phe voi nhan xo,Dak Lak,26100.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26300.0
Ca phe voi nhan xo,Dak Lak,26400.0
Ca phe voi nhan xo,Dak Lak,26300.0
Ca phe voi nhan xo,Dak Lak,26300.0
Ca phe voi nhan xo,Dak Lak,26300.0
Ca phe voi nhan xo,Dak Lak,26200.0
Ca phe voi nhan xo,Dak Lak,26300.0
