date,price,area,productivity,quantity,RON 95-III
12/27/2018,11000,235,73.5,1727.4,18.14
12/28/2018,10500,235,73.5,1727.4,18.14
12/29/2018,10500,235,73.5,1727.4,18.14
12/30/2018,10500,235,73.5,1727.4,18.14
12/31/2018,10500,235,73.5,1727.4,18.14
1/1/2019,10500,235,73.5,1727.4,17.6
1/2/2019,10500,235,73.5,1727.4,17.6
1/3/2019,10500,233.7,71,1659.3,17.6
1/4/2019,10500,233.7,71,1659.3,17.6
1/5/2019,10500,233.7,71,1659.3,17.6
1/6/2019,10500,233.7,71,1659.3,17.6
1/7/2019,10500,233.7,71,1659.3,17.6
1/8/2019,10500,233.7,71,1659.3,17.6
1/9/2019,10500,233.7,71,1659.3,17.6
1/10/2019,10500,233.7,71,1659.3,17.6
1/11/2019,10500,233.7,71,1659.3,17.6
1/12/2019,10500,233.7,71,1659.3,17.6
1/13/2019,10500,233.7,71,1659.3,17.6
1/14/2019,10500,233.7,71,1659.3,17.6
1/15/2019,10500,233.7,71,1659.3,17.6
1/16/2019,10500,233.7,71,1659.3,17.6
1/17/2019,10500,233.7,71,1659.3,17.6
1/18/2019,10500,233.7,71,1659.3,17.6
1/19/2019,10500,233.7,71,1659.3,17.6
1/20/2019,10500,233.7,71,1659.3,17.6
1/21/2019,10500,233.7,71,1659.3,17.6
1/22/2019,10500,233.7,71,1659.3,17.6
1/23/2019,10500,233.7,71,1659.3,17.6
1/24/2019,10500,233.7,71,1659.3,17.6
1/25/2019,10500,233.7,71,1659.3,17.6
1/26/2019,10500,233.7,71,1659.3,17.6
1/27/2019,10500,233.7,71,1659.3,17.6
1/28/2019,10500,233.7,71,1659.3,17.6
1/29/2019,10500,233.7,71,1659.3,17.6
1/30/2019,10500,233.7,71,1659.3,17.6
1/31/2019,10500,233.7,71,1659.3,17.6
2/1/2019,10500,233.7,71,1659.3,17.6
2/2/2019,10500,233.7,71,1659.3,17.6
2/3/2019,10500,233.7,71,1659.3,17.6
2/4/2019,10500,233.7,71,1659.3,17.6
2/5/2019,10500,233.7,71,1659.3,17.6
2/6/2019,10500,233.7,71,1659.3,17.6
2/7/2019,10500,233.7,71,1659.3,17.6
2/8/2019,10500,233.7,71,1659.3,17.6
2/9/2019,10500,233.7,71,1659.3,17.6
2/10/2019,10500,233.7,71,1659.3,17.6
2/11/2019,10500,233.7,71,1659.3,17.6
2/12/2019,10500,233.7,71,1659.3,17.6
2/13/2019,10500,233.7,71,1659.3,17.6
2/14/2019,10500,233.7,71,1659.3,17.6
2/15/2019,10500,233.7,71,1659.3,17.6
2/16/2019,10500,233.7,71,1659.3,17.6
2/17/2019,10500,233.7,71,1659.3,17.6
2/18/2019,10500,233.7,71,1659.3,17.6
2/19/2019,10000,233.7,71,1659.3,17.6
2/20/2019,10000,233.7,71,1659.3,17.6
2/21/2019,10000,233.7,71,1659.3,17.6
2/22/2019,10000,233.7,71,1659.3,17.6
2/23/2019,10000,233.7,71,1659.3,17.6
2/24/2019,10000,233.7,71,1659.3,17.6
2/25/2019,10000,233.7,71,1659.3,17.6
2/26/2019,10000,233.7,71,1659.3,17.6
2/27/2019,10000,233.7,71,1659.3,17.6
2/28/2019,10500,233.7,71,1659.3,17.6
3/1/2019,10500,233.7,71,1659.3,17.6
3/2/2019,10500,233.7,71,1659.3,18.54
3/3/2019,10500,233.7,71,1659.3,18.54
3/4/2019,10500,233.7,71,1659.3,18.54
3/5/2019,10500,233.7,71,1659.3,18.54
3/6/2019,10500,233.7,71,1659.3,18.54
3/7/2019,10500,233.7,71,1659.3,18.54
3/8/2019,10500,233.7,71,1659.3,18.54
3/9/2019,10500,233.7,71,1659.3,18.54
3/10/2019,10500,233.7,71,1659.3,18.54
3/11/2019,10500,233.7,71,1659.3,18.54
3/12/2019,10500,233.7,71,1659.3,18.54
3/13/2019,10500,233.7,71,1659.3,18.54
3/14/2019,10500,233.7,71,1659.3,18.54
3/15/2019,10500,233.7,71,1659.3,18.54
3/16/2019,10500,233.7,71,1659.3,18.54
3/17/2019,10500,233.7,71,1659.3,18.54
3/18/2019,10500,233.7,71,1659.3,18.54
3/19/2019,10500,233.7,71,1659.3,18.54
3/20/2019,10500,233.7,71,1659.3,18.54
3/21/2019,10500,233.7,71,1659.3,18.54
3/22/2019,10500,233.7,71,1659.3,18.54
3/23/2019,10500,233.7,71,1659.3,18.54
3/24/2019,10500,233.7,71,1659.3,18.54
3/25/2019,10500,233.7,71,1659.3,18.54
3/26/2019,10500,233.7,71,1659.3,18.54
3/27/2019,10500,233.7,71,1659.3,18.54
3/28/2019,10500,233.7,71,1659.3,18.54
3/29/2019,10500,233.7,71,1659.3,18.54
3/30/2019,10500,233.7,71,1659.3,18.54
3/31/2019,10500,233.7,71,1659.3,18.54
4/1/2019,10500,233.7,71,1659.3,18.54
4/2/2019,10500,233.7,71,1659.3,20.03
4/3/2019,10500,233.7,71,1659.3,20.03
4/4/2019,10500,233.7,71,1659.3,20.03
4/5/2019,10500,233.7,71,1659.3,20.03
4/6/2019,10500,233.7,71,1659.3,20.03
4/7/2019,10500,233.7,71,1659.3,20.03
4/8/2019,10500,233.7,71,1659.3,20.03
4/9/2019,10500,233.7,71,1659.3,20.03
4/10/2019,10500,233.7,71,1659.3,20.03
4/11/2019,10500,233.7,71,1659.3,20.03
4/12/2019,10500,233.7,71,1659.3,20.03
4/13/2019,10500,233.7,71,1659.3,20.03
4/14/2019,10500,233.7,71,1659.3,20.03
4/15/2019,10500,233.7,71,1659.3,20.03
4/16/2019,10500,233.7,71,1659.3,20.03
4/17/2019,10500,233.7,71,1659.3,21.23
4/18/2019,10500,233.7,71,1659.3,21.23
4/19/2019,10500,233.7,71,1659.3,21.23
4/20/2019,10500,233.7,71,1659.3,21.23
4/21/2019,10500,233.7,71,1659.3,21.23
4/22/2019,10500,233.7,71,1659.3,21.23
4/23/2019,10500,233.7,71,1659.3,21.23
4/24/2019,10500,233.7,71,1659.3,21.23
4/25/2019,10500,233.7,71,1659.3,21.23
4/26/2019,10500,233.7,71,1659.3,21.23
4/27/2019,10500,233.7,71,1659.3,21.23
4/28/2019,10500,233.7,71,1659.3,21.23
4/29/2019,10500,233.7,71,1659.3,21.23
4/30/2019,10500,233.7,71,1659.3,21.23
5/1/2019,10500,233.7,71,1659.3,21.23
5/2/2019,10500,233.7,71,1659.3,22.19
5/3/2019,10500,233.7,71,1659.3,22.19
5/4/2019,10500,233.7,71,1659.3,22.19
5/5/2019,10500,233.7,71,1659.3,22.19
5/6/2019,10500,233.7,71,1659.3,22.19
5/7/2019,10500,233.7,71,1659.3,22.19
5/8/2019,10500,233.7,71,1659.3,22.19
5/9/2019,10500,233.7,71,1659.3,22.19
5/10/2019,10500,233.7,71,1659.3,22.19
5/11/2019,10500,233.7,71,1659.3,22.19
5/12/2019,10500,233.7,71,1659.3,22.19
5/13/2019,10500,233.7,71,1659.3,22.19
5/14/2019,10500,233.7,71,1659.3,22.19
5/15/2019,10500,233.7,71,1659.3,22.19
5/16/2019,10500,233.7,71,1659.3,22.19
5/17/2019,10500,233.7,71,1659.3,21.59
5/18/2019,10500,233.7,71,1659.3,21.59
5/19/2019,10500,233.7,71,1659.3,21.59
5/20/2019,10500,233.7,71,1659.3,21.59
5/21/2019,10500,233.7,71,1659.3,21.59
5/22/2019,10500,233.7,71,1659.3,21.59
5/23/2019,10500,233.7,71,1659.3,21.59
5/24/2019,10500,233.7,71,1659.3,21.59
5/25/2019,10500,233.7,71,1659.3,21.59
5/26/2019,10500,233.7,71,1659.3,21.59
5/27/2019,10500,233.7,71,1659.3,21.59
5/28/2019,10500,233.7,71,1659.3,21.59
5/29/2019,10500,233.7,71,1659.3,21.59
5/30/2019,10500,233.7,71,1659.3,21.59
5/31/2019,10500,233.7,71,1659.3,21.59
6/1/2019,10500,233.7,71,1659.3,21.21
6/2/2019,10500,233.7,71,1659.3,21.21
6/3/2019,10500,233.7,71,1659.3,21.21
6/4/2019,10500,233.7,71,1659.3,21.21
6/5/2019,10500,233.7,71,1659.3,21.21
6/6/2019,10500,233.7,71,1659.3,21.21
6/7/2019,10500,233.7,71,1659.3,21.21
6/8/2019,10500,233.7,71,1659.3,21.21
6/9/2019,10500,233.7,71,1659.3,21.21
6/10/2019,10500,233.7,71,1659.3,21.21
6/11/2019,10500,233.7,71,1659.3,21.21
6/12/2019,10500,233.7,71,1659.3,21.21
6/13/2019,10500,233.7,71,1659.3,21.21
6/14/2019,10500,233.7,71,1659.3,21.21
6/15/2019,10500,233.7,71,1659.3,21.21
6/16/2019,10500,233.7,71,1659.3,21.21
6/17/2019,10500,233.7,71,1659.3,20.13
6/18/2019,10500,233.7,71,1659.3,20.13
6/19/2019,10500,233.7,71,1659.3,20.13
6/20/2019,10500,233.7,71,1659.3,20.13
6/21/2019,10500,233.7,71,1659.3,20.13
6/22/2019,10500,233.7,71,1659.3,20.13
6/23/2019,10500,233.7,71,1659.3,20.13
6/24/2019,10500,233.7,71,1659.3,20.13
6/25/2019,10500,233.7,71,1659.3,20.13
6/26/2019,10500,233.7,71,1659.3,20.13
6/27/2019,10500,233.7,71,1659.3,20.13
6/28/2019,10500,233.7,71,1659.3,20.13
6/29/2019,10500,233.7,71,1659.3,20.13
6/30/2019,10500,233.7,71,1659.3,20.13
7/1/2019,10500,233.7,71,1659.3,20.13
7/2/2019,10500,233.7,71,1659.3,20.51
7/3/2019,10500,233.7,71,1659.3,20.51
7/4/2019,10500,233.7,71,1659.3,20.51
7/5/2019,10500,233.7,71,1659.3,20.51
7/6/2019,10500,233.7,71,1659.3,20.51
7/7/2019,10500,233.7,71,1659.3,20.51
7/8/2019,10500,233.7,71,1659.3,20.51
7/9/2019,10500,233.7,71,1659.3,20.51
7/10/2019,10500,233.7,71,1659.3,20.51
7/11/2019,10500,233.7,71,1659.3,20.51
7/12/2019,10500,233.7,71,1659.3,20.51
7/13/2019,10500,233.7,71,1659.3,20.51
7/14/2019,10500,233.7,71,1659.3,20.51
7/15/2019,10500,233.7,71,1659.3,20.51
7/16/2019,10500,233.7,71,1659.3,20.51
7/17/2019,10500,233.7,71,1659.3,21.23
7/18/2019,10500,233.7,71,1659.3,21.23
7/19/2019,10500,233.7,71,1659.3,21.23
7/20/2019,10500,233.7,71,1659.3,21.23
7/21/2019,10500,233.7,71,1659.3,21.23
7/22/2019,10500,233.7,71,1659.3,21.23
7/23/2019,10500,233.7,71,1659.3,21.23
7/24/2019,10500,233.7,71,1659.3,21.23
7/25/2019,10500,233.7,71,1659.3,21.23
7/26/2019,10500,233.7,71,1659.3,21.23
7/27/2019,10500,233.7,71,1659.3,21.23
7/28/2019,10500,233.7,71,1659.3,21.23
7/29/2019,10500,233.7,71,1659.3,21.23
7/30/2019,10500,233.7,71,1659.3,21.23
7/31/2019,10500,233.7,71,1659.3,21.23
8/1/2019,10500,233.7,71,1659.3,20.91
8/2/2019,10500,233.7,71,1659.3,20.91
8/3/2019,10500,233.7,71,1659.3,20.91
8/4/2019,10500,233.7,71,1659.3,20.91
8/5/2019,10500,233.7,71,1659.3,20.91
8/6/2019,10500,233.7,71,1659.3,20.91
8/7/2019,10500,233.7,71,1659.3,20.91
8/8/2019,10500,233.7,71,1659.3,20.91
8/9/2019,10500,233.7,71,1659.3,20.91
8/10/2019,10500,233.7,71,1659.3,20.91
8/11/2019,10500,233.7,71,1659.3,20.91
8/12/2019,10500,233.7,71,1659.3,20.91
8/13/2019,10500,233.7,71,1659.3,20.91
8/14/2019,10500,233.7,71,1659.3,20.91
8/15/2019,10500,233.7,71,1659.3,20.91
8/16/2019,10500,233.7,71,1659.3,20.4
8/17/2019,10500,233.7,71,1659.3,20.4
8/18/2019,10500,233.7,71,1659.3,20.4
8/19/2019,10500,233.7,71,1659.3,20.4
8/20/2019,10500,233.7,71,1659.3,20.4
8/21/2019,10500,233.7,71,1659.3,20.4
8/22/2019,10500,233.7,71,1659.3,20.4
8/23/2019,10500,233.7,71,1659.3,20.4
8/24/2019,10500,233.7,71,1659.3,20.4
8/25/2019,10500,233.7,71,1659.3,20.4
8/26/2019,10500,233.7,71,1659.3,20.4
8/27/2019,10500,233.7,71,1659.3,20.4
8/28/2019,10500,233.7,71,1659.3,20.4
8/29/2019,10500,233.7,71,1659.3,20.4
8/30/2019,10500,233.7,71,1659.3,20.4
8/31/2019,10500,233.7,71,1659.3,20.23
9/1/2019,10500,233.7,71,1659.3,20.23
9/2/2019,10500,233.7,71,1659.3,20.23
9/3/2019,10500,233.7,71,1659.3,20.23
9/4/2019,10500,233.7,71,1659.3,20.23
